artist,album_title,album_cover,year_released,billboard_200_position,uk_top_40_position
The Rolling Stones,The Rolling Stones,https://upload.wikimedia.org/wikipedia/en/c/c1/RS64.jpg,1964,0,1
The Rolling Stones,England's Newest Hit Makers,https://cdn.hmv.com/r/w-1280/hmv/files/31/31964ebf-e997-464d-839e-3a3179b11e79.jpg,1964,11,0
The Rolling Stones,12 X 5,https://cdn.hmv.com/r/w-1280/hmv/files/a9/a96319f7-37e3-49c5-8dfe-aaf7de6f4f48.jpg,1964,3,0
The Rolling Stones,The Rolling Stones No. 2,https://upload.wikimedia.org/wikipedia/en/5/58/TheRollingStonesNumber2.jpg,1965,1,0
The Rolling Stones,"The Rolling Stones, Now!",https://cdn.hmv.com/r/w-1280/p-webp/hmv/files/9e/9e6b783a-0bdf-4d93-b01b-a71f34fe0194.jpg,1965,5,0
The Rolling Stones,Out of Our Heads,https://cdn.hmv.com/r/w-1280/p-webp/hmv/files/d2/d237d610-cc5c-4378-8029-aee5ea8a1547.jpg,1965,1,2
The Rolling Stones,December's Children (And Everybody's),https://cdn.hmv.com/r/w-1280/p-webp/hmv/files/e3/e3e09a0c-7f14-4cf0-8b70-4bfde8fba2e0.jpg,1965,0,4
The Rolling Stones,Got Live If You Want It!,https://cdn.hmv.com/r/w-1280/p-webp/hmv/files/9a/9a9382d5-488f-4959-9850-3c8e54832007.jpg,1966,0,3
The Rolling Stones,Aftermath,https://cdn.hmv.com/r/w-1280/p-webp/hmv/files/b2/b219665b-d46a-4bb3-b9ef-67b52f5a1654.jpg,1966,2,1
The Rolling Stones,Big Hits (High Tide and Green Grass),https://cdn.hmv.com/r/w-1280/p-webp/hmv/files/93/93d65000-fdc9-49d6-83d0-8423388ca88a.jpg,1966,3,4
The Rolling Stones,Between the Buttons,https://cdn.hmv.com/r/w-1280/p-webp/hmv/files/8f/8f97e462-d7b2-410f-94c4-ca65b018b533.jpg,1967,2,3
The Rolling Stones,Their Satanic Majesties Request,https://cdn.hmv.com/r/w-1280/p-webp/hmv/files/54/54d400f8-b4f2-4a41-adca-302176a36fd6.jpg,1967,3,2
The Rolling Stones,Flowers,https://cdn.hmv.com/r/w-1280/hmv/files/13/13a9c519-a76f-436c-9e56-caef436481ce.jpg,1967,3,0
The Rolling Stones,Beggars Banquet,https://cdn.hmv.com/r/w-1280/hmv/files/b3/b31f30dc-d48c-44fc-97f0-85f04ce18f5a.jpg,1968,3,5
The Rolling Stones,"Through the Past, Darkly (Big Hits Vol. 2)",https://m.media-amazon.com/images/I/71vfLvAc8kL._AC_SL1417_.jpg,1969,2,2
The Rolling Stones,Let It Bleed,https://cdn.hmv.com/r/w-1280/hmv/files/92/926fb017-b9f1-4bb0-9601-ca2e1927ff78.jpg,1969,1,2
The Rolling Stones,Get Yer Ya-Ya's Out! The Rolling Stones in Concert,https://cdn.hmv.com/r/w-1280/hmv/files/9a/9a35177d-f71f-4297-a6c3-becb4b05da35.jpg,1970,6,1
The Rolling Stones,Stone Age,https://i.discogs.com/AX4hTfQD0wHrEkmqgitIpmeR6D2n1jC6U43s45F4P48/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5NDg0/MzAtMTcxMzY4OTY3/NS05ODc2LmpwZWc.jpeg,1971,0,4
The Rolling Stones,Sticky Fingers,https://cdn.hmv.com/r/w-1280/hmv/files/1f/1f8aa405-201b-4376-aea1-4a490e920d55.jpg,1971,1,1
The Rolling Stones,Gimme Shelter,https://i.discogs.com/dyISaUYKUhYWoO72-EFNMajn2spEM6dUONqTZoLzXuo/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg1NjIy/NDAtMTQ2NDA5NDAw/OC05NTA0LmpwZWc.jpeg,1971,0,19
